entry_time,exit_time,direction,bars_held,size_factor,notional,beta,gross_pnl,slippage_spread_cost,commission,net_pnl,return_pct,capital_after
2022-10-04 13:49:00+00:00,2022-10-04 14:00:00+00:00,long,11,1.0,102509.4350428262,0.7186303032973047,-39.06376151208053,45.61302431131901,6.0,-45.06376151208053,-0.04396059883975936,102464.37128131412
2022-10-04 15:00:00+00:00,2022-10-04 16:31:00+00:00,long,91,1.0,102464.37128131412,0.7314530768922488,191.22054937045493,45.38122077903083,6.0,185.22054937045493,0.1807658086945512,102649.59183068457
2022-10-11 13:31:00+00:00,2022-10-11 13:38:00+00:00,long,7,0.7399874628487453,75959.41102124756,0.5124079768720863,-31.641048054602606,33.79961908982975,6.0,-37.64104805460261,-0.049554159976403125,102611.95078262997
2022-10-11 13:53:00+00:00,2022-10-11 13:57:00+00:00,long,4,0.748857488752485,76841.72777907387,0.5966215895001957,21.673426570309203,34.20020600512876,6.0,15.673426570309203,0.020397025188412684,102627.62420920028
2022-10-11 19:06:00+00:00,2022-10-11 19:11:00+00:00,long,5,0.7137679155526105,73252.30540991752,0.6853522132556902,-33.56147503744998,32.56669565522963,6.0,-39.56147503744998,-0.05400713986551721,102588.06273416283
2022-10-11 19:14:00+00:00,2022-10-11 19:15:00+00:00,long,1,0.7197785337089342,73840.68537083587,0.7684297206803975,-8.742704064040453,32.78810302161138,6.0,-14.742704064040453,-0.019965556914864763,102573.32003009878
2022-10-11 19:16:00+00:00,2022-10-11 19:17:00+00:00,long,1,0.7173220084309574,73578.09993542181,0.8178794803637295,-60.95003342238414,32.70115595066203,6.0,-66.95003342238414,-0.09099179440777214,102506.3699966764
2022-10-11 19:18:00+00:00,2022-10-11 19:27:00+00:00,long,9,0.7223051968342944,74040.88375721835,0.6941216065333481,-1.345705480727979,32.95027309793559,6.0,-7.345705480727979,-0.009921147760492304,102499.02429119567
2022-10-11 19:32:00+00:00,2022-10-11 19:33:00+00:00,long,1,0.7410156030358117,75953.37629572267,0.798238452755924,-53.05694978712734,33.76859069590633,6.0,-59.05694978712734,-0.0777542127386023,102439.96734140854
2022-10-12 13:36:00+00:00,2022-10-12 13:37:00+00:00,short,1,0.7795579379828946,79857.8897077035,0.6819325914314907,7.55375535655088,35.538477988218915,6.0,1.5537553565508802,0.001945650407540129,102441.5210967651
2022-10-12 14:13:00+00:00,2022-10-12 14:16:00+00:00,long,3,0.7914737052668892,81079.77027563287,0.6653296137672894,-47.157103604856374,36.08113678787409,6.0,-53.157103604856374,-0.06556148768570429,102388.36399316024
2022-10-12 14:17:00+00:00,2022-10-12 14:18:00+00:00,long,1,0.7947291815607971,81371.02071763322,0.7455731138119019,-21.61827756953815,36.18338768229127,6.0,-27.61827756953815,-0.033941171348183946,102360.7457155907
2022-10-12 15:02:00+00:00,2022-10-12 15:03:00+00:00,short,1,0.8112628165915943,83041.46687764607,0.6202833576836222,-61.09089742425429,36.99281689345353,6.0,-67.09089742425428,-0.08079204275510513,102293.65481816645
2022-10-12 15:08:00+00:00,2022-10-12 15:10:00+00:00,short,2,0.8094048826276405,82796.98367165039,0.5320794249696393,-58.215298371710475,36.966935484147484,6.0,-64.21529837171047,-0.07755753352848013,102229.43951979475
2022-10-12 15:12:00+00:00,2022-10-12 15:13:00+00:00,short,1,0.80792357921485,82593.57467796061,0.5908458722723828,-30.569978692586478,36.818259449379184,6.0,-36.569978692586474,-0.04427702619141494,102192.86954110216
2022-10-12 15:16:00+00:00,2022-10-12 15:17:00+00:00,short,1,0.8102117624978229,82797.86494560646,0.612165794228976,-32.213017166327816,36.880966555876086,6.0,-38.213017166327816,-0.046152176981171696,102154.65652393583
2022-10-12 15:20:00+00:00,2022-10-12 15:21:00+00:00,short,1,0.8099958027349184,82744.84301421528,0.6196735533742468,-31.15765015729036,36.85952236148954,6.0,-37.15765015729036,-0.044906303285761034,102117.49887377855
2022-10-12 15:22:00+00:00,2022-10-12 15:23:00+00:00,short,1,0.8120925090952986,82928.85588294316,0.6153419500668629,-74.85720231889235,36.91117223979915,6.0,-80.85720231889235,-0.09750189057597151,102036.64167145966
2022-10-12 16:00:00+00:00,2022-10-12 16:02:00+00:00,short,2,0.8237420180208358,84051.86912251709,0.5352580868511794,-20.949282286345706,37.496156097560174,6.0,-26.949282286345706,-0.032062680542015595,102009.69238917332
2022-10-13 13:31:00+00:00,2022-10-13 13:37:00+00:00,long,6,0.8933809524864639,91133.51614949084,0.6173033167658133,-164.83435129600616,40.6764778806056,6.0,-170.83435129600616,-0.18745502040739662,101838.8580378773
2022-10-13 13:38:00+00:00,2022-10-13 14:02:00+00:00,long,24,0.891378943615616,90777.01369682375,0.4862891217110048,-6.8094872426041775,40.88104530894288,6.0,-12.809487242604177,-0.014110937032347403,101826.0485506347
2022-10-13 14:15:00+00:00,2022-10-13 14:17:00+00:00,short,2,0.806078992844216,82079.83866100186,0.9767420692478186,-56.34444832800086,36.40537348632276,6.0,-62.34444832800086,-0.07595586120178648,101763.7041023067
2022-10-13 14:18:00+00:00,2022-10-13 14:19:00+00:00,short,1,0.8007836783497315,81490.71329353882,0.6860035339654301,-73.16666296928598,36.24353674392929,6.0,-79.16666296928598,-0.09714807954143026,101684.53743933741
2022-10-13 15:39:00+00:00,2022-10-17 16:44:00+00:00,short,847,0.6994329202023707,71121.51296062306,0.8182110014559485,236.37567770111397,31.648551156011507,6.0,230.37567770111397,0.32391841527424076,101914.91311703852
2022-10-20 14:02:00+00:00,2022-10-20 18:32:00+00:00,short,268,1.0,101914.91311703852,0.8137888584399814,-258.6317016828059,44.78130497908522,6.0,-264.6317016828059,-0.2596594488373888,101650.28141535571
2022-10-21 14:04:00+00:00,2022-10-21 15:06:00+00:00,short,62,0.8766060233841945,89107.24896739925,0.8293067741463421,-115.71218955541536,39.166255017675226,6.0,-121.71218955541536,-0.13659067131557942,101528.5692258003
2022-10-21 19:26:00+00:00,2022-10-24 14:00:00+00:00,short,65,0.8330856322344714,84581.99228333714,0.9115463735678649,174.68835510040083,37.35192314987944,6.0,168.68835510040083,0.19943767053313172,101697.2575809007
2022-10-24 15:36:00+00:00,2022-10-24 15:41:00+00:00,long,5,0.7741578413778198,78729.7294028742,0.7558997451219318,-30.98949999679693,34.775810934139,6.0,-36.98949999679693,-0.04698288724900221,101660.2680809039
2022-10-24 17:23:00+00:00,2022-10-25 14:08:00+00:00,long,196,0.7040847326026164,71577.44266805353,0.9766043830233357,-208.27243150491756,31.74371856486694,6.0,-214.27243150491756,-0.29935748403114115,101445.99564939899
2022-10-25 18:18:00+00:00,2022-10-25 18:19:00+00:00,short,1,0.9369605099962529,95050.89182073853,0.9994730889053635,-63.437705826742615,41.79120313320004,6.0,-69.43770582674262,-0.07305318708392429,101376.55794357225
2022-10-25 18:26:00+00:00,2022-10-25 18:27:00+00:00,short,1,0.9331851823802214,94603.10171365154,0.9829195196844307,-47.104661133737224,41.590281442205026,6.0,-53.104661133737224,-0.056134164918267206,101323.45328243851
2022-10-26 13:31:00+00:00,2022-10-31 17:05:00+00:00,short,1378,0.9037091936396858,91566.93626266088,0.9509226264004395,679.9411053301028,40.90074977342151,6.0,673.9411053301028,0.7360092330673754,101997.39438776861
2022-11-02 13:40:00+00:00,2022-11-03 18:37:00+00:00,long,682,0.9970715492382377,101698.70004047597,0.504047859076393,-45.471350654444905,43.646950008798825,6.0,-51.471350654444905,-0.05061161119459675,101945.92303711416
2022-11-07 14:31:00+00:00,2022-11-08 16:14:00+00:00,long,490,1.0,101945.92303711416,0.9431208307121286,-271.6634553318727,45.05858455176306,6.0,-277.6634553318727,-0.27236347178963427,101668.25958178229
2022-11-09 16:41:00+00:00,2022-11-10 14:49:00+00:00,long,276,1.0,101668.25958178229,0.8935964392587162,-1266.3841355250945,45.47346332400173,6.0,-1272.3841355250945,-1.2515057705906576,100395.8754462572
2022-11-11 17:43:00+00:00,2022-11-11 18:06:00+00:00,long,23,1.0,100395.8754462572,0.5811493602867082,55.4939599243603,44.306037881256884,6.0,49.4939599243603,0.04929879808743224,100445.36940618156
2022-11-15 14:33:00+00:00,2022-11-18 17:37:00+00:00,short,1343,1.0,100445.36940618156,0.6052979831535811,-427.1886512065587,43.84163720528909,6.0,-433.1886512065587,-0.4312679158506829,100012.18075497501
2022-11-21 19:52:00+00:00,2022-11-22 18:04:00+00:00,long,275,0.9344742544776973,93458.80804969398,0.6910749645136169,-50.88120952394655,41.14970326339548,6.0,-56.88120952394655,-0.060862331449489104,99955.29954545107
2022-11-28 18:46:00+00:00,2022-11-29 14:32:00+00:00,short,133,1.0,99955.29954545107,0.7206600037206454,106.22854871473123,43.53450285633154,6.0,100.22854871473123,0.10027337136752404,100055.5280941658
2022-12-01 14:36:00+00:00,2022-12-01 15:11:00+00:00,short,35,0.7660961626705729,76652.15612691811,0.8666545280681618,-68.1750940816546,33.29958309920993,6.0,-74.1750940816546,-0.0967684378751694,99981.35300008414
2022-12-01 20:55:00+00:00,2022-12-01 20:58:00+00:00,long,3,0.9548607108821376,95468.26580061829,0.7627477526970745,-12.030925026819277,41.60866674421222,6.0,-18.030925026819276,-0.01888682576938828,99963.32207505732
2022-12-02 14:30:00+00:00,2022-12-02 14:41:00+00:00,long,11,0.9535391707509381,95318.94323695911,0.7854830387170941,118.79980263912958,41.517071094856874,6.0,112.79980263912958,0.11833933403847517,100076.12187769645
2022-12-02 14:44:00+00:00,2022-12-02 14:45:00+00:00,long,1,0.9586461973331453,95937.59368190209,0.595926646258408,-59.218851783825855,41.96847363099288,6.0,-65.21885178382585,-0.06798049573775052,100010.90302591263
2022-12-02 14:48:00+00:00,2022-12-02 14:51:00+00:00,long,3,0.9563481647150803,95645.24356032941,0.7268906310340454,-28.150451532628054,41.78073178114211,6.0,-34.150451532628054,-0.03570533176705984,99976.75257438
2022-12-02 15:37:00+00:00,2022-12-02 15:46:00+00:00,long,9,0.9493770087386797,94915.63030247198,0.8029077710217566,-26.813609817834546,41.3936626023034,6.0,-32.813609817834546,-0.034571344796706205,99943.93896456217
2022-12-05 19:39:00+00:00,2022-12-09 16:02:00+00:00,long,1335,0.9539896433351283,95345.4826863105,0.8059049512129968,-85.54737833513866,41.35282933467518,6.0,-91.54737833513866,-0.09601648211938082,99852.39158622704
2022-12-12 20:33:00+00:00,2022-12-12 20:34:00+00:00,short,1,0.40623474540471827,40563.51087408317,0.9279496516896275,-29.823973282859065,17.65146025389968,6.0,-35.823973282859065,-0.08831576091641444,99816.56761294417
2022-12-12 20:37:00+00:00,2022-12-12 20:38:00+00:00,short,1,0.40517876635707006,40443.553727409795,0.952970917666609,-20.75524667467167,17.59550875921386,6.0,-26.75524667467167,-0.06615453937357352,99789.8123662695
2022-12-12 20:41:00+00:00,2022-12-12 20:42:00+00:00,short,1,0.40456932288651926,40371.89681999446,0.9478643567090794,-26.21284903005198,17.56546928701619,6.0,-32.212849030051984,-0.07979027880131298,99757.59951723945
2022-12-12 20:43:00+00:00,2022-12-12 20:54:00+00:00,short,11,0.40578798422185497,40480.43521891169,0.8555900176240783,-17.534605043372252,17.63858439656492,6.0,-23.534605043372252,-0.05813822138052837,99734.06491219607
2022-12-12 20:57:00+00:00,2022-12-12 20:58:00+00:00,short,1,0.4027762090893462,40170.50858240511,0.986309861935021,-10.883545196378188,17.47499885254779,6.0,-16.883545196378186,-0.042029702366709054,99717.18136699969
2022-12-13 14:30:00+00:00,2022-12-13 14:35:00+00:00,short,5,0.40219362718320106,40105.61486647872,0.9896375084349375,-61.20596471922325,17.385150928872243,6.0,-67.20596471922326,-0.16757245822802658,99649.97540228047
